country_code,country,media_type,tmdb_id,title,original_title,original_language,release_date,genre_ids,genres,popularity,vote_average,vote_count,overview,poster_path,only_abroad
KR,대한민국,tv,71728,영 셸던,Young Sheldon,en,2017-09-25,"35,10751,18","코미디, 가족, 드라마",68.3097,8.026,3051,'빅뱅이론'의 주인공 셸든 쿠퍼의 어린 시절을 다룬 이야기.,/c9J6uYthPPYpBHjOVEEWg7MvMtY.jpg,False
KR,대한민국,tv,296206,김부장,김부장,ko,2026-06-26,"10759,80,18","Action & Adventure, 범죄, 드라마",74.4886,7.931,87,"평범한 가장이자 아빠. 어느 날 딸이 흔적도 없이 실종되자, 그는 딸을 되찾기 위해 오래전 봉인해 둔 비밀 작전 기술을 다시 꺼내 든다. 하지만 곧 위험한 시선이 그를 향하기 시작한다.",/eKJNWq4akdrviR9qEF6xPhzKQU.jpg,False
KR,대한민국,tv,1407,홈랜드,Homeland,en,2011-10-02,"18,10768,80","드라마, War & Politics, 범죄",78.5816,7.591,2648,"이라크에서 사망한 것으로 추정되는 미군 병사가 실종된 지 8년 만에 돌아온다. 그러나 귀향의 기쁨이 사그라든 후, 그가 정말로 미국의 영웅이었는지 아니면 그가 테러를 계획하는 잠복 조직의 일원이었는지에 대한 의혹이 제기된다.",/6GAvS2e6VIRsms9FpVt33PsCoEW.jpg,False
KR,대한민국,tv,60059,베터 콜 사울,Better Call Saul,en,2015-02-08,"80,18","범죄, 드라마",74.8063,8.71,6721,"에미상 후보작 《브레이킹 배드》의 스핀 오프 시리즈로, 삼류 변호사 지미 맥길이 악덕 변호사 사울 굿맨으로 변하게 되는 과정을 그린다.",/4VrmpuhjCtsFNAyW8Cd1fYBKJtf.jpg,False
KR,대한민국,tv,46296,스파르타쿠스,Spartacus,en,2010-01-22,18,드라마,75.1026,8.027,3013,"2010년 1월 Starz에서 방영을 시작한 드라마. 기원전 73년부터 2년 뒤인 기원전 71년까지 노예들을 이끌고 반(反)로마 공화정 항쟁을 지도한 노예 검투사 스파르타쿠스의 이야기를 바탕으로 각색했다. 로마의 접경시대에 살던 소수민족 트라키아의 전사였던 스파르타쿠스가 로마군에 사로잡힌 후 투기장의 노예로 팔려가지만, 극적으로 목숨을 부지하고 카푸아의 검투사 양성소에서 글래디에이터로 명성을 떨치는 이야기를 중심으로 당시 로마 귀족들의 사치와 부패, 사회상, 그리고 자유를 향한 노예 출신 등장 인물들의 갈망을 적나라하게 보여준다.",/9aehAV4zGOWad1Gz31gibjfIEnx.jpg,False
KR,대한민국,tv,1400,사인필드,Seinfeld,en,1989-07-05,35,코미디,63.2264,8.255,2403,코미디언 제리 사인필드가 직접 자신의 삶을 무대로 연기한 드라마.  래리 데이비드(《Curb Your Enthusiasm》)와 제리 사인펠드 제작. 뉴욕에 사는 4명의 싱글 친구들이 등장하는 거침없는 시트콤. 《LA Times》는 '끝내주는 작품'이라고 평했다.,/aCw8ONfyz3AhngVQa1E2Ss4KSUQ.jpg,False
KR,대한민국,tv,276161,참교육,참교육,ko,2026-06-05,"10759,18,35","Action & Adventure, 드라마, 코미디",72.9407,9.422,773,"선 넘는 학생, 학부모, 교사. 대한민국 교권이 무너졌다. 교육 현장을 바로잡기 위해 창설된 ‘교권보호국’. 그들의 유쾌, 상쾌, 통쾌한 참교육이 시작된다.",/bUsdsCTUUrqd1l9MZFgiJRypQG1.jpg,False
KR,대한민국,tv,12225,페파 피그,Peppa Pig,en,2004-05-31,"16,10762","애니메이션, Kids",63.8906,6.6,757,"페파 피그는 엄마, 아빠, 그리고 남동생 조지와 함께 사는 활기찬 돼지입니다. 그녀는 진흙 웅덩이에 뛰어드는 것과 큰 코웃음 소리를 내는 것을 좋아합니다.",/aTaGTqkbMWoy0ef0M48qJkMltxE.jpg,False
KR,대한민국,tv,65942,Re: 제로부터 시작하는 이세계 생활,Re:ゼロから始める異世界生活,ja,2016-04-04,"16,18,9648,10759,10765","애니메이션, 드라마, 미스터리, Action & Adventure, Sci-Fi & Fantasy",61.7654,8.025,733,"편의점에서 돌아가는 길. 갑자기 이세계로 날아간 소년, 나츠키 스바루.  무력한 소년이 손에 넣은 유일한 힘. 그것은 죽어서 시간을 되돌리는 사망귀환의 힘이었다.  소중한 사람을 지키기 위해. 그리고 분명히 존재했던 하나뿐인 시간을 되찾기 위해.  소년은 가혹한 운명에 맞선다.  널 구하기 위해서라면, 난 몇 번이든 죽겠어!",/i7rka8OksNjM0BXjTmz8zwEDfO1.jpg,False
KR,대한민국,tv,56570,아웃랜더,Outlander,en,2014-08-09,"18,10765","드라마, Sci-Fi & Fantasy",84.0856,8.2,2944,"제2차 세계대전, 평범한 간호사가 알 수 없는 힘으로 18세기 스코틀랜드 중세시대로 타임슬립하면서 겪는 이야기.  다이애나 개벌든(Diana Gabaldon)의 인기 판타지 로맨스 소설 시리즈를 각색한 서사시적 드라마로, 시간을 초월하여 만난 두 연인의 사랑 이야기를 다룬다. 어느 날 1743년으로 시간 여행을 하게 된 20세기 종군 간호사 클레어(Claire)는 자신이 심각한 위험에 처했음을 알게 된다.",/xLvJrOTIftHwZSTlZTeu6aQUC3n.jpg,False
